EpisodeNumber,IterationTime,AverageIterationTime,CumulativeIterationTime,Reward,AverageReward,CheckpointCount,Velocity,AverageVelocity,TimedOut
2883,240.01445,99.59741576710319,287139.3496565585,10.9267159,73.19704688209696,4,1.12573051,8.435781447238991,True
2884,125.610931,99.60643570997172,287264.96058755845,114.279945,73.21129199240136,36,13.4929743,8.43753498151526,False
2885,62.6212425,99.59361588563551,287327.5818300585,35.99428,73.19839181493433,11,9.927339,8.438051378055462,False
2886,45.94086,99.57502518713044,287373.52269005845,31.9892426,73.18411283045236,10,11.9632349,8.439272855367292,False
2887,73.6396561,99.56604168554155,287447.16234615847,46.56904,73.17489389285954,12,10.9832821,8.440154050117773,False
2888,26.22041,99.54064499866983,287473.3827561585,12.374403,73.15384109130385,4,10.418437,8.4408390511392,False
2889,54.64106,99.52510343238438,287528.0238161585,36.3966,73.14111792027882,11,11.3841162,8.44185783866044,False
2890,240.01445,99.57371566303061,287768.0382661585,233.360046,73.19655699573893,73,13.5938721,8.443640542557096,True
2891,240.01445,99.62229426363145,288008.0527161585,35.0390472,73.18335827218453,12,2.60014343,8.44161927063992,True
2892,1.639999,99.58841380192203,288009.6927151585,-3.51843858,73.15683621241546,1,6.53436,8.440959775733061,False
2893,6.299995,99.556167545855,288015.9927101585,-2.33805275,73.13074050243881,1,5.85003328,8.440064191047359,False
2894,56.82111,99.54140076715913,288072.81382015854,41.89487,73.11994718160175,14,11.8394518,8.4412388239461,False
2895,236.393677,99.58867271059017,288309.20749715855,215.507767,73.16913122989826,68,13.1451139,8.442863651260797,False
2896,211.388336,99.62727756669838,288520.5958331585,188.893433,73.20909127885203,59,12.993434,8.444434980801107,False
2897,240.01445,99.67573706702055,288760.61028315854,235.352554,73.2650607171403,73,13.7534323,8.446267565308943,True
2898,100.595131,99.67605431820515,288861.2054141585,90.4920349,73.27100515267615,29,13.4418116,8.447991355521053,False
2899,53.6210365,99.66016779946827,288914.8264506585,36.24389,73.2582327776666,11,11.5673094,8.449067353466717,False
2900,240.01445,99.70856582781327,289154.8409006585,235.309982,73.31411269119155,73,13.7631626,8.450899800103452,True
2901,240.01445,99.75693048971338,289394.85535065853,232.993378,73.36915552652724,73,13.5584135,8.4526604046191,True
2902,117.532288,99.76305569905531,289512.3876386585,88.37486,73.374326341301,28,11.3717632,8.4536662980703,False
2903,77.5789948,99.75541392816345,289589.9666334585,62.9666061,73.37074118103875,20,12.5909014,8.45509145656218,False
2904,240.01445,99.8037124943039,289829.9810834585,228.176071,73.42404880149984,72,13.2536163,8.456743841150141,True
2905,240.01445,99.85197780841946,290069.99553345854,222.689774,73.47543115096575,69,13.0436983,8.458322827194495,True
2906,240.01445,99.90020990483777,290310.00998345856,221.193665,73.52626330301291,68,12.9949923,8.459883966035791,True
2907,200.486008,99.9348111425726,290510.49599145853,190.563858,73.56652391350379,60,13.7563686,8.461705942174065,False
2908,240.01445,99.98298158234476,290750.51044145855,235.6605,73.62226462054866,73,13.7811852,8.463535199140306,True
2909,124.411133,99.99137902181455,290874.92157445854,114.553406,73.63633514010158,36,13.6478949,8.46531737848058,False
2910,94.27619,99.98941503933283,290969.19776445854,63.42578,73.6328263582665,20,10.4944267,8.466014666907219,False
