EpisodeNumber,IterationTime,Reward,CheckpointCount,AverageVelocity,TimedOut
2385,103.054718,88.70247,28,12.9416475,False
2386,240.01445,230.631287,73,13.3460808,True
2387,240.01445,228.257767,73,13.15364,True
2388,182.602188,163.006744,52,12.9062748,False
2389,99.95524,89.57111,29,13.3511629,False
2390,49.2009354,38.9292641,13,12.7749662,False
2391,223.831,215.7381,69,13.7792616,False
2392,73.13974,63.8850861,21,13.3091984,False
2393,75.1594,64.3510361,21,13.0741749,False
2394,76.87911,62.5230026,20,12.5952511,False
2395,154.336151,138.95636,44,13.17443,False
2396,74.7194748,63.1517258,20,13.1071157,False
2397,240.01445,229.309937,73,13.2410192,True
2398,98.15554,85.38565,27,13.1073084,False
2399,133.531708,31.8903122,11,4.568971,False
2400,184.302551,162.565216,52,12.7885857,False
2401,75.81929,60.5058,19,12.5107279,False
2402,104.254517,85.19751,27,12.38047,False
2403,240.01445,215.310425,67,12.6367168,True
2404,240.01445,31.3172359,11,2.5094502,True
2405,3.03999782,-2.395004,1,11.13609,False
2406,240.01445,231.941223,73,13.4844246,True
2407,240.01445,229.9084,73,13.3219671,True
2408,103.99456,87.01392,28,12.5524569,False
2409,209.067841,187.2973,60,12.9015856,False
2410,49.34094,25.771841,4,11.100584,False
2411,240.01445,216.209091,68,12.5983095,True
2412,240.01445,9.016404,4,1.09758294,True
2413,3.63999724,-2.79275823,1,7.12707567,False
2414,176.6009,163.32045,53,13.3315964,False
2415,50.100956,37.6714363,12,12.4835844,False
2416,54.3210526,37.13884,12,11.363245,False
2417,240.01445,227.512344,73,13.1209354,True
2418,240.01445,37.6499748,12,2.58616161,True
2419,3.33999753,-2.30149627,1,10.7417078,False
2420,2.939998,-2.845548,1,8.34394,False
2421,151.33551,139.566,45,13.3803482,False
2422,240.01445,140.009445,44,8.389141,True
2423,1.85999882,-3.37790537,1,7.22267675,False
2424,2.67999816,-2.99199343,1,8.000268,False
2425,240.01445,233.7002,73,13.61594,True
2426,166.858826,154.727051,50,13.3727255,False
2427,67.4207,53.8634148,18,12.3265114,False
2428,102.014893,87.84131,28,12.9085693,False
2429,51.60099,37.75413,12,12.143528,False
2430,26.5004158,16.0531158,6,11.6012383,False
2431,58.7811546,40.7595024,14,11.0924244,False
2432,50.0409546,37.6434746,12,12.45643,False
2433,127.650589,113.511543,36,13.1593733,False
2434,129.110764,113.099258,36,12.93236,False
2435,75.87928,62.42537,20,12.6962118,False
2436,240.01445,59.7079124,20,4.00779533,True
2437,1.85999882,-3.41827631,1,6.792412,False
2438,2.939998,-2.76471043,1,8.928855,False
2439,240.01445,88.5324249,28,5.505967,True
2440,25.9804039,4.0827446,1,6.530264,False
2441,17.6802139,3.140133,2,7.153719,False
